Company,Industry,Bankruptcy Date,Assets ($)
Hertz,"Travel, Lodging and Leisure",22-May,25.8B
Latam Airlines,"Travel, Lodging and Leisure",25-May,21.1B
Frontier Communications,"Telecoms, Media and Technology",14-Apr,17.4B
Chesapeake Energy,Energy,28-Jun,16.2B
Ascena Retail,Retail and Restaurants,23-Jul,13.7B
Valaris,Energy,19-Aug,13.0B
Mallinckrodt,Health and Personal Care,12-Oct,9.6B
J.C. Penney,Retail and Restaurants,15-May,8.6B
Whiting Petroleum,Energy,1-Apr,7.6B
Avianca Holdings,"Travel, Lodging and Leisure",10-May,7.3B
Noble Corp.,Energy,31-Jul,7.3B
Diamond Offshore Drilling,Energy,26-Apr,5.8B
Denbury Resources,Energy,30-Jul,4.6B
Seadrill Partners,Energy,1-Dec,4.6B
California Resources,Energy,15-Jul,4.1B
Hornbeck Offshore Services,Energy,19-May,2.7B
Covia Holdings,"Industrials, Materials, Equipment and Parts",29-Jun,2.5B
Tailored Brands,Retail and Restaurants,2-Aug,2.5B
Gulfport Energy,Energy,13-Nov,2.4B
Pennsylvania Real Estate Investment Trust,Retail and Restaurants,1-Nov,2.4B
Pacific Drilling,Energy,31-Oct,2.2B
Unit,Energy,22-May,2.1B
Garrett Motion,"Industrials, Materials, Equipment and Parts",20-Sep,2.1B
Centric Brands,Retail and Restaurants,18-May,1.9B
CEC Entertainment,Retail and Restaurants,24-Jun,1.7B
LSC Communications,Other,13-Apr,1.6B
Briggs & Stratton,"Industrials, Materials, Equipment and Parts",20-Jul,1.6B
Ultra Petroleum,Energy,14-May,1.3B
Pyxus International,Other,15-Jun,1.0B
RGN-Group Holdings,Other,17-Aug,1.0B
Superior Energy,Energy,7-Dec,1.0B
Guitar Center,Retail and Restaurants,21-Nov,1.0B
CBL Properties,Retail and Restaurants,2-Nov,1.0B
Oasis Petroleum,Energy,30-Sep,1.0B
iQor,Other,10-Sep,1.0B
Fieldwood Energy,Energy,3-Aug,1.0B
WorldStrides,"Travel, Lodging and Leisure",20-Jul,1.0B
Bruin E&P Partners,Energy,16-Jul,1.0B
NPC International,Retail and Restaurants,1-Jul,1.0B
Grupo Aeromexico,"Travel, Lodging and Leisure",30-Jun,1.0B
Grupo Famsa,Retail and Restaurants,26-Jun,1.0B
Sable Permian Resources,Energy,25-Jun,1.0B
Chisholm Oil & Gas,Energy,17-Jun,1.0B
24 Hour Fitness Worldwide,"Travel, Lodging and Leisure",15-Jun,1.0B
Extraction Oil & Gas,Energy,14-Jun,1.0B
Gavilan Resources,Energy,15-May,1.0B
Neiman Marcus,Retail and Restaurants,7-May,1.0B
J Crew,Retail and Restaurants,4-May,1.0B
OneWeb Holdings,"Telecoms, Media and Technology",27-Mar,1.0B
Foresight Energy,Energy,10-Mar,1.0B
Hi-Crush,Energy,12-Jul,953.1M
GNC Holdings,Retail and Restaurants,23-Jun,895.0M
Rosehill Resources,Energy,26-Jul,872.5M
Stein Mart,Retail and Restaurants,12-Aug,757.5M
Shiloh Industries,"Industrials, Materials, Equipment and Parts",30-Aug,664.2M
Global Eagle Entertainment,"Telecoms, Media and Technology",22-Jul,630.5M
Chaparral Energy,Energy,16-Aug,595.2M
Lonestar Resources,Energy,30-Sep,560.0M
FTS International,Energy,22-Sep,517.2M
Bouchard Transportation,Energy,28-Sep,500.0M
Town Sports,"Travel, Lodging and Leisure",14-Sep,500.0M
