Date,Mining,% Mining,Construction,% Construction,Durable_goods,% Durable_goods,Non_durable_goods,% Non_durable_goods,Retail,% Retail,Transportation,% Transportation,Information,% Information,Financial_activities,% Financial_activities,Professional_and_business_activities,% Professional_and_business_activities,Education_and_health,% Education_and_health,Leisure_and_hospitality,Leisure_and_hospitality
2011-01,721,,5046,,7124,,4400,,14448.6,,4184.4,,2653,,7629,,16762,,20020,,12477,
2011-02,723,0.28%,5049,0.06%,7141,0.24%,4401,0.02%,14282.5,-1.15%,4190.4,0.14%,2663,0.38%,7630,0.01%,16898,0.81%,20267,1.23%,12614,1.10%
2011-03,741,2.49%,5158,2.16%,7176,0.49%,4412,0.25%,14349.3,0.47%,4214.6,0.58%,2667,0.15%,7641,0.14%,17051,0.91%,20328,0.30%,12881,2.12%
2011-04,757,2.16%,5364,3.99%,7215,0.54%,4425,0.29%,14489,0.97%,4238.3,0.56%,2673,0.22%,7652,0.14%,17294,1.43%,20411,0.41%,13233,2.73%
2011-05,776,2.51%,5556,3.58%,7253,0.53%,4437,0.27%,14588.7,0.69%,4276.3,0.90%,2684,0.41%,7692,0.52%,17348,0.31%,20316,-0.47%,13535,2.28%
2011-06,798,2.84%,5728,3.10%,7323,0.97%,4478,0.92%,14682.3,0.64%,4311.6,0.83%,2696,0.45%,7737,0.59%,17496,0.85%,20091,-1.11%,13947,3.04%
2011-07,813,1.88%,5808,1.40%,7314,-0.12%,4499,0.47%,14718,0.24%,4255.9,-1.29%,2684,-0.45%,7756,0.25%,17460,-0.21%,19998,-0.46%,14032,0.61%
2011-08,817,0.49%,5845,0.64%,7343,0.40%,4520,0.47%,14717.5,0.00%,4268.7,0.30%,2645,-1.45%,7745,-0.14%,17573,0.65%,20024,0.13%,14023,-0.06%
2011-09,822,0.61%,5817,-0.48%,7338,-0.07%,4502,-0.40%,14617.2,-0.68%,4345.8,1.81%,2664,0.72%,7701,-0.57%,17573,0.00%,20343,1.59%,13629,-2.81%
2011-10,830,0.97%,5808,-0.15%,7344,0.08%,4482,-0.44%,14751.7,0.92%,4357,0.26%,2671,0.26%,7713,0.16%,17718,0.83%,20633,1.43%,13418,-1.55%
2011-11,828,-0.24%,5707,-1.74%,7341,-0.04%,4449,-0.74%,15142.3,2.65%,4383,0.60%,2687,0.60%,7721,0.10%,17737,0.11%,20725,0.45%,13249,-1.26%
