,,close,high,low,open,volume
IQ,3/15/2019,27.02,27.22,25.95,25.98,9512936
IQ,3/18/2019,27.42,28,26.54,27.27,9735792
IQ,3/19/2019,27.33,27.92,27.12,27.5,7295904
IQ,3/20/2019,26.41,27.15,25.36,27.03,13875382
IQ,3/21/2019,26.02,26.6597,25.87,26.06,7957377
IQ,3/22/2019,25.02,26.04,24.93,25.75,7941156
IQ,3/25/2019,24.02,24.41,23.4,24.24,13083324
IQ,3/26/2019,22.87,24.0299,22.56,23.25,23925582
IQ,3/27/2019,22.71,23.17,22.23,22.79,25571795
IQ,3/28/2019,22.72,22.92,22.47,22.71,10191434
IQ,3/29/2019,23.92,24.07,23.1,23.17,14237191
IQ,04/01/2019,24.79,25.05,24.3031,24.9,12547536
IQ,04/02/2019,24.4,24.68,24.04,24.47,7838837
IQ,04/03/2019,23.98,24.82,23.82,24.73,8913427
IQ,04/04/2019,23.48,24.2999,23,23.85,8504243
IQ,04/05/2019,23.48,23.9,23.3501,23.64,5664326
IQ,04/08/2019,23.38,23.61,22.85,23.31,4000672
IQ,04/09/2019,23.88,24.31,23.24,23.25,6804032
IQ,04/10/2019,24.13,24.14,23.5215,23.95,5833875
IQ,04/11/2019,23.32,24.15,23.19,23.89,5428869
IQ,04/12/2019,23.7,24.32,23.55,23.78,6760321
IQ,4/15/2019,22.44,23.6,22.315,23.58,9181038
IQ,4/16/2019,22.95,23.08,22.4,22.76,7404436
IQ,4/17/2019,22.9,23.22,22.62,23.16,6949753
IQ,4/18/2019,23.195,23.34,22.9703,23,5117686
IQ,4/22/2019,23.98,24.25,22.9,22.93,8402870
IQ,4/23/2019,23.8,24.33,23.5101,23.92,6264610
IQ,4/24/2019,22.82,23.77,22.5,23.76,10159487
IQ,4/25/2019,22.97,23,22.225,22.77,8216751
IQ,4/26/2019,21.9,22.6,20.89,22.54,21419455
IQ,4/29/2019,21.98,22.23,21.5,21.51,5903902
IQ,4/30/2019,22.11,22.446,21.8122,21.9,9076274
IQ,05/01/2019,22.2,22.84,21.98,22.22,8834599
IQ,05/02/2019,22.4,22.72,21.97,22.4,6450066
IQ,05/03/2019,23.01,23.14,22.3001,22.62,5978531
IQ,05/06/2019,22.42,22.48,21.7,21.82,9854608
IQ,05/07/2019,21.97,22.45,21.74,22.21,6467281
IQ,05/08/2019,21.56,22.09,21.5,21.85,7328053
IQ,05/09/2019,21.51,21.58,20.43,21.15,10062155
IQ,05/10/2019,20.96,22.0998,20.54,21.47,8135166
IQ,5/13/2019,20.01,20.37,19.98,20.07,10395347
