Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,108579352,1390.9176397815922,2663021,34.11369487643301,332360,2396408,30.69834271357344,80950,1.0369815334716683,9691,
United States of America,Americas,27309503,8250.54,654538,197.74,87896,480464,145.15,21920,6.62,3317,Community transmission
India,South-East Asia,10916589,791.05,78395,5.68,11649,155732,11.28,652,0.05,90,Clusters of cases
Brazil,Americas,9809754,4615.06,311959,146.76,44299,238532,112.22,7520,3.54,1043,Community transmission
Russian Federation,Europe,4086090,2799.95,102893,70.51,14207,80520,55.18,3452,2.37,394,Clusters of cases
The United Kingdom,Europe,4038082,5948.33,92398,136.11,10972,117166,172.59,4701,6.92,258,Community transmission
France,Europe,3406616,5218.99,124396,190.58,16546,81393,124.7,2833,4.34,167,Community transmission
Spain,Europe,3041454,6505.12,39827,85.18,0,64217,137.35,777,1.66,0,Community transmission
Italy,Europe,2721879,4501.81,85141,140.82,11060,93577,154.77,2304,3.81,221,Clusters of cases
Turkey,Europe,2586183,3066.41,54727,64.89,6287,27471,32.57,674,0.8,94,Community transmission
Germany,Europe,2338987,2791.69,50442,60.2,4426,65076,77.67,3401,4.06,116,Community transmission
Colombia,Americas,2190116,4304.23,38909,76.47,4947,57425,112.86,1732,3.4,229,Community transmission
Argentina,Americas,2025798,4482.27,49109,108.66,4245,50236,111.15,1126,2.49,48,Community transmission
Mexico,Americas,1988695,1542.43,62615,48.56,9741,173771,134.78,7985,6.19,1214,Community transmission
Poland,Europe,1591497,4205.12,38811,102.55,2542,40832,107.89,1700,4.49,25,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1518263,1807.61,51828,61.71,7390,58945,70.18,476,0.57,62,Community transmission
South Africa,Africa,1491807,2515.33,15672,26.42,1744,47899,80.76,1609,2.71,78,Community transmission
Ukraine,Europe,1273475,2911.88,26485,60.56,2332,24392,55.77,748,1.71,62,Community transmission
Peru,Americas,1227205,3721.98,46727,141.72,6457,43491,131.9,1370,4.16,236,Community transmission
Indonesia,South-East Asia,1223930,447.47,66093,24.16,13227,33367,12.2,1811,0.66,431,Community transmission
Czechia,Europe,1090860,10186.4,53455,499.16,2851,18250,170.42,917,8.56,107,Community transmission
Netherlands,Europe,1029284,6006.95,23729,138.48,3497,14816,86.47,418,2.44,23,Community transmission
Canada,Americas,823353,2181.52,22296,59.07,3047,21228,56.24,526,1.39,66,Community transmission
Portugal,Europe,785756,7705.98,20342,199.5,1677,15321,150.25,1163,11.41,138,Clusters of cases
Chile,Americas,776209,4060.48,24323,127.24,3814,19541,102.22,567,2.97,98,Community transmission
Romania,Europe,761963,3960.78,16645,86.52,1872,19366,100.67,485,2.52,41,Community transmission
Belgium,Europe,738631,6373.21,11278,97.31,0,21662,186.91,211,1.82,0,Community transmission
Israel,Europe,720393,8322.92,33855,391.14,0,5335,61.64,215,2.48,0,Community transmission
Iraq,Eastern Mediterranean,643852,1600.73,15302,38.04,2224,13179,32.77,59,0.15,15,Community transmission
Sweden,Europe,608411,6024.31,14777,146.32,0,12428,123.06,39,0.39,0,Community transmission
Pakistan,Eastern Mediterranean,563029,254.89,8555,3.87,1404,12307,5.57,340,0.15,31,Community transmission
Philippines,Western Pacific,549176,501.16,11866,10.83,1921,11515,10.51,336,0.31,8,Community transmission
Bangladesh,South-East Asia,541038,328.52,2976,1.81,772,8285,5.03,80,0.05,19,Community transmission
Switzerland,Europe,538116,6217.67,5143,59.42,0,8982,103.78,54,0.62,0,Community transmission
Morocco,Eastern Mediterranean,478474,1296.31,3119,8.45,339,8477,22.97,83,0.22,17,Clusters of cases
Austria,Europe,429894,4773.21,9250,102.7,1202,8101,89.95,195,2.17,13,Community transmission
Serbia,Europe,420879,6043.84,12998,186.65,1386,4230,60.74,104,1.49,16,Community transmission
Japan,Western Pacific,415782,328.74,10792,8.53,1310,6952,5.5,557,0.44,40,Clusters of cases
Hungary,Europe,388799,4024.69,11144,115.36,1337,13752,142.36,597,6.18,46,Community transmission
Saudi Arabia,Eastern Mediterranean,372732,1070.64,2454,7.05,322,6432,18.48,30,0.09,4,Sporadic cases
United Arab Emirates,Eastern Mediterranean,348772,3526.37,22277,225.24,3167,1014,10.25,93,0.94,13,Community transmission
Jordan,Eastern Mediterranean,347250,3403.37,12096,118.55,2447,4455,43.66,76,0.74,11,Community transmission
Lebanon,Eastern Mediterranean,339122,4968.5,19205,281.37,2130,3993,58.5,377,5.52,32,Community transmission
Panama,Americas,331692,7687.37,5228,121.17,707,5621,130.27,166,3.85,26,Community transmission
Slovakia,Europe,278254,5096.56,14928,273.42,2020,5952,109.02,753,13.79,140,Clusters of cases
Nepal,South-East Asia,272840,936.41,915,3.14,226,2055,7.05,17,0.06,1,Clusters of cases
Belarus,Europe,268687,2843.45,9996,105.79,1658,1849,19.57,66,0.7,9,Community transmission
Ecuador,Americas,267223,1514.61,8941,50.68,1696,15321,86.84,309,1.75,52,Community transmission
Georgia,Europe,265722,6661.09,3494,87.59,165,3363,84.3,65,1.63,11,Community transmission
Malaysia,Western Pacific,264269,816.5,21817,67.41,2464,965,2.98,93,0.29,7,Clusters of cases
Kazakhstan,Europe,250476,1333.97,5125,27.29,0,3185,16.96,0,0,0,Clusters of cases
Croatia,Europe,237725,5790.73,2252,54.86,68,5339,130.05,141,3.43,21,Community transmission
Bolivia (Plurinational State of),Americas,236036,2022.06,8908,76.31,938,11155,95.56,402,3.44,48,Community transmission
Azerbaijan,Europe,232123,2289.37,969,9.56,128,3180,31.36,22,0.22,2,Clusters of cases
Dominican Republic,Americas,229768,2118.09,6370,58.72,873,2994,27.6,163,1.5,62,Community transmission
Bulgaria,Europe,229697,3305.73,5963,85.82,181,9624,138.51,293,4.22,16,Clusters of cases
Tunisia,Eastern Mediterranean,223244,1888.92,6158,52.1,740,7544,63.83,330,2.79,36,Community transmission
Ireland,Europe,209582,4244.45,6014,121.8,786,3948,79.95,262,5.31,17,Community transmission
Denmark,Europe,204362,3528.23,2741,47.32,295,2292,39.57,76,1.31,8,Community transmission
Costa Rica,Americas,199187,3910.14,2243,44.03,0,2714,53.28,34,0.67,0,Community transmission
Lithuania,Europe,190937,7013.84,3898,143.19,213,3080,113.14,125,4.59,10,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,189268,3710.11,5903,115.71,804,2128,41.71,56,1.1,3,Community transmission
Slovenia,Europe,179482,8633.35,5801,279.04,329,3977,191.3,38,1.83,0,Clusters of cases
Kuwait,Eastern Mediterranean,177701,4161.06,6703,156.96,798,1003,23.49,37,0.87,5,Community transmission
Egypt,Eastern Mediterranean,173813,169.85,4173,4.08,611,9994,9.77,343,0.34,59,Clusters of cases
Greece,Europe,172128,1651.42,8182,78.5,662,6126,58.77,154,1.48,23,Community transmission
Republic of Moldova,Europe,170186,4218.83,5617,139.24,381,3651,90.51,108,2.68,11,Community transmission
Armenia,Europe,169255,5711.82,1078,36.38,88,3147,106.2,24,0.81,6,Community transmission
Guatemala,Americas,167279,933.71,4142,23.12,208,6124,34.18,240,1.34,30,Community transmission
Honduras,Americas,159788,1613.27,5883,59.4,764,3857,38.94,147,1.48,9,Community transmission
Qatar,Eastern Mediterranean,157244,5457.87,3146,109.2,440,255,8.85,5,0.17,0,Community transmission
Ethiopia,Africa,146492,127.42,4154,3.61,788,2194,1.91,46,0.04,13,Community transmission
Nigeria,Africa,146184,70.92,6436,3.12,520,1752,0.85,85,0.04,5,Community transmission
Paraguay,Americas,143443,2011.11,5840,81.88,845,2920,40.94,113,1.58,16,Community transmission
Myanmar,South-East Asia,141601,260.25,297,0.55,16,3189,5.86,14,0.03,1,Clusters of cases
Oman,Eastern Mediterranean,137306,2688.78,1632,31.96,684,1542,30.2,8,0.16,3,Community transmission
Venezuela (Bolivarian Republic of),Americas,132743,466.81,3100,10.9,484,1273,4.48,45,0.16,6,Community transmission
Libya,Eastern Mediterranean,127354,1853.42,3328,48.43,473,2018,29.37,65,0.95,4,Community transmission
Bosnia and Herzegovina,Europe,126023,3841.21,2079,63.37,381,4896,149.23,96,2.93,4,Community transmission
Bahrain,Eastern Mediterranean,112742,6625.74,5413,318.12,640,403,23.68,23,1.35,5,Clusters of cases
Algeria,Africa,110711,252.47,1623,3.7,198,2939,6.7,25,0.06,4,Community transmission
Kenya,Africa,102867,191.3,1048,1.95,75,1795,3.34,16,0.03,0,Community transmission
China,Western Pacific,101536,6.9,220,0.01,21,4838,0.33,7,0,0,Clusters of cases
Puerto Rico,Americas,97609,3411.88,1770,61.87,296,1919,67.08,36,1.26,4,Community transmission
North Macedonia,Europe,97052,4658.39,2254,108.19,180,2989,143.47,65,3.12,13,Community transmission
Albania,Europe,93075,3234.24,7739,268.92,1088,1555,54.03,95,3.3,12,Clusters of cases
Kyrgyzstan,Europe,85516,1310.75,403,6.18,41,1442,22.1,11,0.17,1,Clusters of cases
Republic of Korea,Western Pacific,83869,163.59,2685,5.24,344,1527,2.98,53,0.1,5,Clusters of cases
Uzbekistan,Europe,79442,237.36,280,0.84,26,622,1.86,1,0,0,Clusters of cases
Latvia,Europe,76706,4066.7,4906,260.1,424,1451,76.93,112,5.94,8,Community transmission
Ghana,Africa,75836,244.06,5068,16.31,718,533,1.72,76,0.24,15,Community transmission
Sri Lanka,South-East Asia,75654,353.3,6306,29.45,802,397,1.85,41,0.19,13,Clusters of cases
Zambia,Africa,69437,377.7,6774,36.85,983,951,5.17,98,0.53,11,Community transmission
Montenegro,Europe,68921,10973.53,2651,422.09,0,882,140.43,40,6.37,0,Clusters of cases
Norway,Europe,66392,1224.66,1739,32.08,156,592,10.92,10,0.18,0,Clusters of cases
Kosovo[1],Europe,64298,3456.17,2083,111.97,246,1534,82.46,21,1.13,0,Community transmission
Singapore,Western Pacific,59800,1022.16,101,1.73,14,29,0.5,0,0,0,Sporadic cases
El Salvador,Americas,57428,885.39,1191,18.36,0,1742,26.86,61,0.94,8,Community transmission
Afghanistan,Eastern Mediterranean,55514,142.61,155,0.4,22,2427,6.23,14,0.04,0,Clusters of cases
Luxembourg,Europe,52884,8448.22,1036,165.5,185,607,96.97,14,2.24,1,Community transmission
Estonia,Europe,52827,3982.33,4560,343.75,411,501,37.77,40,3.02,6,Clusters of cases
Mozambique,Africa,50265,160.82,5665,18.12,1677,535,1.71,75,0.24,21,Community transmission
Finland,Europe,49572,894.69,1956,35.3,0,710,12.81,12,0.22,0,Community transmission
Uruguay,Americas,48459,1395.01,3647,104.99,631,533,15.34,52,1.5,6,Community transmission
Uganda,Africa,40019,87.49,171,0.37,0,328,0.72,1,0,0,Community transmission
Cuba,Americas,38289,338.04,5458,48.19,806,266,2.35,28,0.25,5,Community transmission
Namibia,Africa,35970,1415.64,996,39.2,173,388,15.27,13,0.51,2,Community transmission
Zimbabwe,Africa,35172,236.64,620,4.17,68,1400,9.42,74,0.5,2,Community transmission
Cyprus,Europe,32513,2692.9,754,62.45,123,221,18.3,9,0.75,1,Clusters of cases
Cameroon,Africa,31394,118.26,1081,4.07,0,474,1.79,0,0,0,Community transmission
Côte d’Ivoire,Africa,31140,118.05,1315,4.99,256,174,0.66,12,0.05,1,Community transmission
Senegal,Africa,31007,185.18,2247,13.42,366,748,4.47,66,0.39,7,Community transmission
Sudan,Eastern Mediterranean,29933,68.26,168,0.38,0,1849,4.22,14,0.03,0,Community transmission
Malawi,Africa,29035,151.78,1840,9.62,159,952,4.98,96,0.5,15,Community transmission
Australia,Western Pacific,28898,113.33,48,0.19,6,909,3.56,0,0,0,Sporadic cases
Botswana,Africa,24926,1059.95,1423,60.51,0,202,8.59,39,1.66,0,Community transmission
Thailand,South-East Asia,24714,35.41,1157,1.66,143,82,0.12,3,0,2,Clusters of cases
Democratic Republic of the Congo,Africa,24294,27.13,696,0.78,55,692,0.77,11,0.01,0,Community transmission
Angola,Africa,20366,61.97,280,0.85,37,492,1.5,17,0.05,1,Community transmission
Malta,Europe,19789,4481.78,1113,252.07,138,293,66.36,11,2.49,3,Clusters of cases
Madagascar,Africa,19360,69.91,295,1.07,0,285,1.03,4,0.01,0,Community transmission
Jamaica,Americas,19035,642.82,1950,65.85,205,374,12.63,16,0.54,2,Community transmission
French Polynesia,Western Pacific,18263,6501.42,78,27.77,0,135,48.06,2,0.71,0,Sporadic cases
Maldives,South-East Asia,17828,3298.16,1045,193.32,112,58,10.73,3,0.55,2,Clusters of cases
Rwanda,Africa,17343,133.9,892,6.89,76,239,1.85,19,0.15,3,Community transmission
Mauritania,Africa,16974,365.06,197,4.24,197,430,9.25,5,0.11,5,Community transmission
Eswatini,Africa,16535,1425.23,331,28.53,47,630,54.3,26,2.24,0,Community transmission
French Guiana,Americas,16456,5509.54,160,53.57,0,80,26.78,1,0.33,0,Community transmission
Guinea,Africa,14946,113.81,259,1.97,51,84,0.64,0,0,0,Community transmission
Syrian Arab Republic,Eastern Mediterranean,14863,84.93,386,2.21,43,978,5.59,26,0.15,3,Community transmission
Cabo Verde,Africa,14741,2651.32,361,64.93,41,139,25,4,0.72,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Mayotte,Africa,13535,4961.24,2780,1019.01,0,78,28.59,14,5.13,0,Clusters of cases
Gabon,Africa,12577,565.07,1120,50.32,0,73,3.28,2,0.09,0,Community transmission
Belize,Americas,12145,3054.36,108,27.16,11,313,78.72,7,1.76,0,Community transmission
Haiti,Americas,12143,106.49,337,2.96,0,247,2.17,1,0.01,0,Community transmission
Burkina Faso,Africa,11588,55.44,303,1.45,0,138,0.66,4,0.02,0,Community transmission
Réunion,Africa,10907,1218.23,420,46.91,0,47,5.25,0,0,0,Clusters of cases
Andorra,Europe,10503,13593.48,252,326.15,40,107,138.48,1,1.29,0,Community transmission
Lesotho,Africa,9965,465.17,585,27.31,113,230,10.74,47,2.19,5,Community transmission
Guadeloupe,Americas,9302,2324.78,146,36.49,0,159,39.74,1,0.25,0,Community transmission
Suriname,Americas,8794,1499.07,144,24.55,16,166,28.3,6,1.02,0,Community transmission
Congo,Africa,8419,152.57,359,6.51,0,123,2.23,1,0.02,0,Community transmission
Bahamas,Americas,8311,2113.45,24,6.1,0,178,45.26,2,0.51,0,Clusters of cases
Mali,Africa,8229,40.64,53,0.26,3,342,1.69,4,0.02,0,Community transmission
Guyana,Americas,8207,1043.41,268,34.07,26,186,23.65,6,0.76,0,Clusters of cases
Trinidad and Tobago,Americas,7642,546.06,26,1.86,5,138,9.86,3,0.21,1,Community transmission
Guam,Western Pacific,7487,4436.08,45,26.66,3,130,77.03,0,0,0,Clusters of cases
Aruba,Americas,7338,6872.97,204,191.07,0,68,63.69,7,6.56,0,Community transmission
Martinique,Americas,6521,1737.71,79,21.05,0,45,11.99,0,0,0,Community transmission
Iceland,Europe,6033,1767.95,13,3.81,0,29,8.5,0,0,0,Community transmission
Djibouti,Eastern Mediterranean,5971,604.35,24,2.43,3,63,6.38,0,0,0,Clusters of cases
Togo,Africa,5874,70.95,391,4.72,51,81,0.98,1,0.01,1,Community transmission
Equatorial Guinea,Africa,5694,405.85,116,8.27,0,87,6.2,1,0.07,0,Community transmission
South Sudan,Africa,5413,48.36,1058,9.45,103,74,0.66,9,0.08,0,Community transmission
Somalia,Eastern Mediterranean,5183,32.61,321,2.02,91,152,0.96,18,0.11,4,Community transmission
Nicaragua,Americas,5064,76.44,37,0.56,0,171,2.58,1,0.02,0,Community transmission
Central African Republic,Africa,4996,103.44,7,0.14,0,63,1.3,0,0,0,Community transmission
Niger,Africa,4695,19.4,83,0.34,5,169,0.7,4,0.02,0,Community transmission
Curaçao,Americas,4633,2823.4,36,21.94,0,22,13.41,1,0.61,0,Community transmission
Benin,Africa,4560,37.61,367,3.03,0,56,0.46,1,0.01,0,Community transmission
Gambia,Africa,4414,182.65,177,7.32,112,138,5.71,4,0.17,3,Community transmission
Gibraltar,Europe,4215,12510.76,38,112.79,3,85,252.29,5,14.84,1,Clusters of cases
Sierra Leone,Africa,3821,47.9,36,0.45,0,79,0.99,0,0,0,Community transmission
Chad,Africa,3645,22.19,148,0.9,23,128,0.78,3,0.02,1,Community transmission
Comoros,Africa,3334,383.39,246,28.29,2,128,14.72,16,1.84,0,Community transmission
San Marino,Europe,3314,9764.87,177,521.54,10,72,212.15,3,8.84,0,Community transmission
Jersey,Europe,3200,2941.18,26,23.9,2,67,61.58,0,0,0,Community transmission
Guinea-Bissau,Africa,2924,148.58,144,7.32,39,46,2.34,0,0,0,Community transmission
Liechtenstein,Europe,2611,6846.37,14,36.71,0,49,128.48,0,0,0,Sporadic cases
United States Virgin Islands,Americas,2524,2417.05,58,55.54,0,25,23.94,1,0.96,0,Community transmission
Saint Lucia,Americas,2487,1354.38,674,367.05,0,23,12.53,5,2.72,0,Community transmission
Eritrea,Africa,2429,68.49,103,2.9,0,7,0.2,0,0,0,Community transmission
Mongolia,Western Pacific,2351,71.71,328,10.01,58,2,0.06,0,0,0,Clusters of cases
Viet Nam,Western Pacific,2229,2.29,224,0.23,34,35,0.04,0,0,0,Clusters of cases
Yemen,Eastern Mediterranean,2149,7.21,18,0.06,9,618,2.07,2,0.01,1,Community transmission
Barbados,Americas,2061,717.18,385,133.97,114,23,8,5,1.74,0,Community transmission
Sint Maarten,Americas,1985,4628.98,74,172.57,0,27,62.96,0,0,0,Community transmission
New Zealand,Western Pacific,1980,41.06,16,0.33,6,25,0.52,0,0,0,Clusters of cases
Liberia,Africa,1969,38.93,13,0.26,0,84,1.66,0,0,0,Community transmission
Seychelles,Africa,1892,1923.8,379,385.37,0,8,8.13,1,1.02,0,Community transmission
Turks and Caicos Islands,Americas,1869,4827.21,174,449.4,36,12,30.99,3,7.75,0,Clusters of cases
Burundi,Africa,1849,15.55,121,1.02,25,3,0.03,0,0,0,Community transmission
Monaco,Europe,1760,4484.76,105,267.56,5,21,53.51,1,2.55,0,Sporadic cases
Sao Tome and Principe,Africa,1482,676.22,143,65.25,0,19,8.67,1,0.46,0,Community transmission
Saint Vincent and the Grenadines,Americas,1418,1278.17,149,134.31,0,6,5.41,2,1.8,0,Community transmission
Saint Martin,Americas,1377,3561.91,88,227.63,0,12,31.04,0,0,0,Community transmission
Papua New Guinea,Western Pacific,922,10.31,27,0.3,0,10,0.11,1,0.01,0,Community transmission
Bhutan,South-East Asia,864,111.97,3,0.39,1,1,0.13,0,0,0,Clusters of cases
Guernsey,Europe,789,1248.5,78,123.43,7,13,20.57,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,694,1114.45,2,3.21,0,12,19.27,0,0,0,Sporadic cases
Faroe Islands,Europe,657,1344.52,1,2.05,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,595,46.79,11,0.86,0,10,0.79,0,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cambodia,Western Pacific,479,2.87,5,0.03,0,0,0,0,0,0,Sporadic cases
Isle of Man,Europe,436,512.75,2,2.35,0,25,29.4,0,0,0,No cases
Antigua and Barbuda,Americas,427,436.03,128,130.71,0,9,9.19,2,2.04,0,Sporadic cases
Saint Barthélemy,Americas,425,4299.44,46,465.35,0,0,0,0,0,0,Sporadic cases
Cayman Islands,Americas,416,632.99,11,16.74,0,2,3.04,0,0,0,Sporadic cases
Bonaire,Americas,372,1778.63,6,28.69,0,4,19.13,1,4.78,0,Community transmission
Brunei Darussalam,Western Pacific,184,42.06,3,0.69,0,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,151,499.39,10,33.07,0,1,3.31,0,0,0,Clusters of cases
Grenada,Americas,148,131.53,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,134,232.81,1,1.74,0,2,3.47,0,0,0,Pending
Dominica,Americas,121,168.08,0,0,0,0,0,0,0,0,Clusters of cases
Timor-Leste,South-East Asia,102,7.74,22,1.67,1,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,56,6.25,0,0,0,2,0.22,0,0,0,Sporadic cases
New Caledonia,Western Pacific,52,18.21,3,1.05,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,49,1406.83,1,28.71,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,45,0.62,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,1,1.88,1,0,0,0,0,0,Sporadic cases
Greenland,Europe,30,52.84,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,Clusters of cases
Montserrat,Americas,20,400.08,3,60.01,1,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,18,119.98,1,6.67,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,1,0.15,0,0,0,0,0,0,No cases
Wallis and Futuna,Western Pacific,9,80.03,0,0,0,0,0,0,0,0,Sporadic cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,1,0.5,1,0,0,0,0,0,No cases
Vanuatu,Western Pacific,1,0.33,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
