Date,Mining,Construction,Durable_goods,Non_durable_goods,Retail,Transportation,Information,Financial_activities,Professional_and_business_activities,Education_and_health,Leisure_and_hospitality
2011-01,721.0,5046.0,7124.0,4400.0,14448.6,4184.4,2653.0,7629.0,16762.0,20020.0,12477.0
2011-02,723.0,5049.0,7141.0,4401.0,14282.5,4190.4,2663.0,7630.0,16898.0,20267.0,12614.0
2011-03,741.0,5158.0,7176.0,4412.0,14349.3,4214.6,2667.0,7641.0,17051.0,20328.0,12881.0
2011-04,757.0,5364.0,7215.0,4425.0,14489.0,4238.3,2673.0,7652.0,17294.0,20411.0,13233.0
2011-05,776.0,5556.0,7253.0,4437.0,14588.7,4276.3,2684.0,7692.0,17348.0,20316.0,13535.0
2011-06,798.0,5728.0,7323.0,4478.0,14682.3,4311.6,2696.0,7737.0,17496.0,20091.0,13947.0
2011-07,813.0,5808.0,7314.0,4499.0,14718.0,4255.9,2684.0,7756.0,17460.0,19998.0,14032.0
2011-08,817.0,5845.0,7343.0,4520.0,14717.5,4268.7,2645.0,7745.0,17573.0,20024.0,14023.0
2011-09,822.0,5817.0,7338.0,4502.0,14617.2,4345.8,2664.0,7701.0,17573.0,20343.0,13629.0
2011-10,830.0,5808.0,7344.0,4482.0,14751.7,4357.0,2671.0,7713.0,17718.0,20633.0,13418.0
2011-11,828.0,5707.0,7341.0,4449.0,15142.3,4383.0,2687.0,7721.0,17737.0,20725.0,13249.0
2011-12,828.0,5512.0,7364.0,4436.0,15296.7,4445.3,2696.0,7741.0,17759.0,20661.0,13195.0
2012-01,824.0,5237.0,7348.0,4387.0,14734.5,4307.3,2639.0,7683.0,17396.0,20432.0,12904.0
2012-02,832.0,5219.0,7369.0,4382.0,14520.3,4313.1,2679.0,7694.0,17544.0,20765.0,13038.0
2012-03,836.0,5313.0,7415.0,4407.0,14580.3,4335.4,2672.0,7726.0,17661.0,20843.0,13334.0
2012-04,840.0,5488.0,7438.0,4414.0,14670.4,4330.1,2673.0,7739.0,17865.0,20875.0,13626.0
2012-05,854.0,5651.0,7473.0,4440.0,14775.5,4391.2,2689.0,7771.0,17933.0,20813.0,13959.0
2012-06,862.0,5825.0,7536.0,4488.0,14815.9,4408.0,2686.0,7831.0,18124.0,20542.0,14329.0
2012-07,865.0,5893.0,7532.0,4505.0,14807.7,4361.3,2689.0,7844.0,18115.0,20437.0,14411.0
2012-08,866.0,5926.0,7532.0,4526.0,14815.2,4379.5,2693.0,7841.0,18185.0,20470.0,14434.0
2012-09,857.0,5885.0,7500.0,4523.0,14738.9,4453.8,2660.0,7806.0,18145.0,20767.0,14055.0
2012-10,847.0,5888.0,7493.0,4501.0,14877.7,4468.0,2660.0,7814.0,18302.0,21057.0,13838.0
2012-11,846.0,5788.0,7493.0,4461.0,15363.0,4496.1,2690.0,7814.0,18329.0,21115.0,13646.0
2012-12,848.0,5634.0,7507.0,4451.0,15462.5,4600.1,2681.0,7839.0,18301.0,21112.0,13646.0
2013-01,838.0,5353.0,7468.0,4412.0,14858.2,4428.2,2635.0,7783.0,17905.0,20798.0,13324.0
2013-02,844.0,5386.0,7479.0,4422.0,14672.3,4404.7,2699.0,7799.0,18084.0,21078.0,13470.0
2013-03,847.0,5501.0,7507.0,4428.0,14711.7,4414.1,2694.0,7813.0,18233.0,21155.0,13740.0
2013-04,847.0,5677.0,7514.0,4431.0,14808.6,4431.2,2690.0,7836.0,18453.0,21224.0,14074.0
2013-05,857.0,5871.0,7541.0,4454.0,14932.3,4467.0,2712.0,7873.0,18547.0,21131.0,14459.0
2013-06,869.0,6042.0,7590.0,4496.0,15045.2,4474.5,2711.0,7938.0,18706.0,20876.0,14881.0
2013-07,875.0,6119.0,7544.0,4510.0,15097.3,4411.9,2732.0,7974.0,18730.0,20736.0,14978.0
2013-08,881.0,6152.0,7584.0,4523.0,15131.7,4433.5,2711.0,7958.0,18793.0,20814.0,14961.0
2013-09,878.0,6128.0,7576.0,4515.0,15052.6,4530.3,2699.0,7908.0,18762.0,21056.0,14518.0
2013-10,879.0,6139.0,7579.0,4501.0,15212.3,4541.8,2713.0,7917.0,18894.0,21345.0,14346.0
2013-11,871.0,6056.0,7592.0,4488.0,15655.3,4599.0,2743.0,7909.0,18939.0,21440.0,14174.0
2013-12,867.0,5842.0,7596.0,4488.0,15839.4,4695.4,2732.0,7926.0,18859.0,21373.0,14124.0
2014-01,860.0,5609.0,7538.0,4449.0,15170.7,4535.3,2689.0,7863.0,18499.0,21092.0,13815.0
2014-02,860.0,5612.0,7564.0,4455.0,14951.8,4499.6,2707.0,7879.0,18622.0,21347.0,13908.0
2014-03,868.0,5746.0,7600.0,4461.0,15015.4,4522.4,2719.0,7889.0,18746.0,21438.0,14181.0
2014-04,875.0,5970.0,7613.0,4466.0,15137.0,4544.3,2716.0,7908.0,18970.0,21486.0,14524.0
2014-05,881.0,6158.0,7655.0,4484.0,15238.9,4611.9,2717.0,7939.0,19047.0,21431.0,14935.0
2014-06,895.0,6321.0,7721.0,4533.0,15354.6,4634.5,2728.0,8018.0,19242.0,21221.0,15333.0
2014-07,909.0,6438.0,7713.0,4546.0,15389.2,4607.8,2739.0,8052.0,19253.0,21110.0,15407.0
2014-08,913.0,6476.0,7733.0,4563.0,15380.4,4626.1,2755.0,8053.0,19332.0,21174.0,15365.0
2014-09,914.0,6450.0,7717.0,4559.0,15298.8,4708.6,2724.0,8013.0,19319.0,21463.0,14948.0
2014-10,909.0,6460.0,7727.0,4547.0,15481.6,4747.6,2727.0,8020.0,19462.0,21776.0,14787.0
2014-11,904.0,6365.0,7744.0,4539.0,15894.3,4804.6,2748.0,8034.0,19497.0,21873.0,14587.0
2014-12,898.0,6205.0,7758.0,4536.0,16048.1,4940.1,2742.0,8052.0,19501.0,21853.0,14563.0
2015-01,877.0,5953.0,7710.0,4493.0,15421.1,4760.1,2703.0,8008.0,19096.0,21601.0,14234.0
2015-02,861.0,5962.0,7721.0,4498.0,15244.9,4725.2,2729.0,8016.0,19199.0,21887.0,14374.0
2015-03,848.0,6051.0,7744.0,4510.0,15311.7,4745.6,2730.0,8037.0,19296.0,21973.0,14599.0
2015-04,832.0,6300.0,7748.0,4519.0,15401.8,4757.9,2743.0,8049.0,19543.0,22084.0,14947.0
2015-05,817.0,6491.0,7775.0,4544.0,15530.3,4810.2,2748.0,8084.0,19649.0,22025.0,15365.0
2015-06,819.0,6633.0,7825.0,4598.0,15620.5,4847.6,2754.0,8167.0,19829.0,21808.0,15768.0
2015-07,818.0,6718.0,7801.0,4625.0,15647.0,4825.6,2767.0,8208.0,19858.0,21722.0,15878.0
2015-08,804.0,6754.0,7807.0,4627.0,15626.3,4840.2,2767.0,8207.0,19892.0,21756.0,15845.0
